meeting_id,going_allowance_spf
2015-01-01_SOUTHWELL_All Weather,0.3264978671794744
2015-01-02_DUNDALK_All Weather,0.008443142292372693
2015-01-02_SOUTHWELL_All Weather,0.26249850447062445
2015-01-02_WOLVERHAMPTON_All Weather,0.056061169130934126
2015-01-03_LINGFIELD PARK_All Weather,-0.008107874340785087
2015-01-04_SOUTHWELL_All Weather,0.2676638189176051
2015-01-05_WOLVERHAMPTON_All Weather,0.02232332947697781
2015-01-06_SOUTHWELL_All Weather,0.25039789503546117
2015-01-07_KEMPTON PARK_All Weather,0.03931373450833772
2015-01-07_LINGFIELD PARK_All Weather,-0.03265540705617198
2015-01-08_SOUTHWELL_All Weather,0.21320440468823615
2015-01-08_WOLVERHAMPTON_All Weather,-0.02925234405103272
2015-01-09_DUNDALK_All Weather,0.02678528177204171
2015-01-09_LINGFIELD PARK_All Weather,0.06747586927974786
2015-01-09_WOLVERHAMPTON_All Weather,0.07150379223808317
2015-01-10_LINGFIELD PARK_All Weather,-0.025852976021368008
2015-01-11_CHELMSFORD CITY_All Weather,0.17093361536281265
2015-01-12_WOLVERHAMPTON_All Weather,0.031029165680343956
2015-01-13_SOUTHWELL_All Weather,0.141276555691703
2015-01-14_KEMPTON PARK_All Weather,0.07952889734315427
2015-01-14_LINGFIELD PARK_All Weather,0.12693384116434578
2015-01-15_WOLVERHAMPTON_All Weather,0.21962977945059592
2015-01-16_DUNDALK_All Weather,-0.05241475354839187
2015-01-16_LINGFIELD PARK_All Weather,0.09007368271012657
2015-01-16_WOLVERHAMPTON_All Weather,-0.01607433083806889
2015-01-17_LINGFIELD PARK_All Weather,-0.07722919984247945
2015-01-18_KEMPTON PARK_All Weather,-0.03064901489183035
2015-01-19_WOLVERHAMPTON_All Weather,0.10172131192729054
2015-01-20_SOUTHWELL_All Weather,0.4742025989187478
2015-01-21_KEMPTON PARK_All Weather,-0.01917201136370325
2015-01-21_LINGFIELD PARK_All Weather,0.06505388320287833
2015-01-22_CHELMSFORD CITY_All Weather,0.09572000718065049
2015-01-22_SOUTHWELL_All Weather,0.37342220147769317
2015-01-23_DUNDALK_All Weather,0.016988931800279487
2015-01-23_LINGFIELD PARK_All Weather,-0.020838979096971407
2015-01-23_WOLVERHAMPTON_All Weather,0.14596062426112993
2015-01-24_LINGFIELD PARK_All Weather,0.05231308086098896
2015-01-26_WOLVERHAMPTON_All Weather,0.37603293536697463
2015-01-27_SOUTHWELL_All Weather,0.2950507446701461
2015-01-28_CHELMSFORD CITY_All Weather,0.26579618439389713
2015-01-28_KEMPTON PARK_All Weather,0.08001313801471727
2015-01-29_SOUTHWELL_All Weather,0.13129663564489538
2015-01-29_WOLVERHAMPTON_All Weather,0.051346023665045766
2015-01-30_DUNDALK_All Weather,-0.06402233946468229
2015-01-30_LINGFIELD PARK_All Weather,0.16230159488858958
2015-01-30_WOLVERHAMPTON_All Weather,-0.12893438233439777
2015-01-31_LINGFIELD PARK_All Weather,0.023749263456771037
2015-02-01_CHELMSFORD CITY_All Weather,0.2559962108395994
2015-02-02_LINGFIELD PARK_All Weather,0.007562900474244673
2015-02-02_WOLVERHAMPTON_All Weather,-0.009779569647380604
2015-02-03_KEMPTON PARK_All Weather,0.07172101288558141
2015-02-03_SOUTHWELL_All Weather,0.6835603671794743
2015-02-04_CHELMSFORD CITY_All Weather,0.2862079168034175
