track_norm,track,distance_band,band_label,going_group,n,n_fsp,fsp_par,fsp_sd,final_furlong_par,n_stride,stride_par,tier
CHEPSTOW,Chepstow,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,88.78,3.696054854080901,14.035,0,,insufficient
CHEPSTOW,Chepstow,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,95.2,4.287099718924203,12.41,0,,insufficient
CHEPSTOW,Chepstow,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,89.13,7.58886734887947,13.36,0,,insufficient
CHEPSTOW,Chepstow,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,93,93,91.93,4.7982736470429215,13.23,0,,production
CHESTER,Chester,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,101.71,3.614595130741989,13.43,0,,insufficient
CHESTER,Chester,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,100.83,1.901876624252358,12.63,0,,insufficient
CHESTER,Chester,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,8,8,98.41499999999999,5.039468597977368,13.535,0,,insufficient
CHESTER,Chester,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,19,19,92.08,5.1810903247201345,12.92,0,,insufficient
CHESTER,Chester,1600,1600m (~8.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,98.49,1.3029134549441057,12.74,0,,insufficient
DONCASTER,Doncaster,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,100.01,2.1511553611385454,12.52,0,,insufficient
DONCASTER,Doncaster,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,108.83500000000001,2.3540005841120784,11.67,0,,insufficient
DONCASTER,Doncaster,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,104.525,7.726209022500944,11.82,0,,insufficient
FFOS LAS,Ffos Las,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,112.17500000000001,4.813797588414186,11.94,0,,insufficient
FFOS LAS,Ffos Las,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,102.65,2.137095812638427,12.89,0,,insufficient
FFOS LAS,Ffos Las,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,110.28999999999999,3.3542899397637056,11.935,0,,insufficient
FFOS LAS,Ffos Las,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,95.13499999999999,1.6290590331026489,12.09,0,,insufficient
FFOS LAS,Ffos Las,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,98.17,10.633735382298038,11.73,0,,provisional
FFOS LAS,Ffos Las,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,52,52,103.095,5.662806609643742,12.66,0,,production
FFOS LAS,Ffos Las,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,106.42,6.826693855740129,12.135,0,,insufficient
LINGFIELD,Lingfield,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,103.7,1.3293039532025757,12.225,0,,insufficient
LINGFIELD,Lingfield,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,100.155,5.416478191592764,12.415,0,,insufficient
LINGFIELD,Lingfield,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,101.72,1.9983133383799214,11.67,0,,insufficient
LINGFIELD,Lingfield,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,53,53,105.22,6.246124078349389,11.54,0,,production
LINGFIELD,Lingfield,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,33,33,101.9,4.209863598164615,11.93,0,,provisional
LINGFIELD,Lingfield,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,27,27,100.18,4.228002184145108,12.17,0,,provisional
LINGFIELD,Lingfield,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,19,19,106.75,4.034996764802515,11.86,0,,insufficient
LINGFIELD,Lingfield,1800,1800m (~8.9f),To Graceland,7,7,105.39,1.9872296376244654,12.1,0,,insufficient
NEWBURY,Newbury,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,112.05,1.1726312293300023,11.59,0,,insufficient
NEWBURY,Newbury,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,15,15,95.59,2.878172722791706,13.01,0,,insufficient
NEWBURY,Newbury,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,98.2,4.4017588366610525,12.29,0,,provisional
NEWBURY,Newbury,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,96.02,4.530610566428916,12.72,0,,provisional
NEWBURY,Newbury,1600,1600m (~8.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,106.33,3.1132426824775483,12.16,0,,insufficient
NEWBURY,Newbury,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,102.69999999999999,4.2920180276881394,12.24,0,,insufficient
NEWCASTLE,Newcastle,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,95.45,1.441058291673174,13.315,0,,insufficient
NEWCASTLE,Newcastle,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,101.82,3.5977566706524926,12.06,0,,insufficient
NEWCASTLE,Newcastle,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,94.65,6.568869688865692,12.98,0,,provisional
NEWCASTLE,Newcastle,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,13,13,100.22,4.789196916038399,12.89,0,,insufficient
NEWCASTLE,Newcastle,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,94.63499999999999,3.180685089550503,13.11,0,,insufficient
NEWCASTLE,Newcastle,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,9,9,103.77,8.290919322359649,12.46,0,,insufficient
RIPON,Ripon,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,27,27,95.04,5.593348293313721,13.62,0,,provisional
RIPON,Ripon,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,101.015,3.516352655806868,13.245000000000001,0,,insufficient
RIPON,Ripon,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,68,68,93.43,5.494967080307927,12.945,0,,production
RIPON,Ripon,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,33,33,91.55,2.668077588176349,13.25,0,,provisional
RIPON,Ripon,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,35,35,94.3,5.4348268169843506,13.64,0,,provisional
RIPON,Ripon,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,95.725,3.2937307281219876,12.8,0,,insufficient
SOUTHWELL,Southwell,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,102.35,2.3896605796536057,12.49,0,,insufficient
SOUTHWELL,Southwell,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,23,23,94.75,5.931724805504885,12.39,0,,provisional
SOUTHWELL,Southwell,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,93,93,103.39,5.54818042250734,12.3,0,,production
SOUTHWELL,Southwell,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,63,63,98.41,4.202421016941082,12.63,0,,production
WINDSOR,Windsor,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,101.73,0.5099176404087236,11.65,0,,insufficient
WINDSOR,Windsor,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,21,21,111.93,4.294369408513902,12.63,0,,provisional
WINDSOR,Windsor,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,24,24,98.81,3.6790159463276764,13.434999999999999,0,,provisional
WINDSOR,Windsor,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,57,57,96.46,5.255975959530758,12.52,0,,production
WINDSOR,Windsor,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,15,15,93.95,3.134444909212618,13.23,0,,insufficient
WINDSOR,Windsor,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,103.71000000000001,2.805568371807912,12.24,0,,insufficient
WOLVERHAMPTON,Wolverhampton,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,28,28,98.61000000000001,3.4393763524624,12.504999999999999,0,,provisional
WOLVERHAMPTON,Wolverhampton,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,110.14,4.069343802675685,12.114999999999998,0,,insufficient
WOLVERHAMPTON,Wolverhampton,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,116.78,1.8574586763572947,11.620000000000001,0,,insufficient
WOLVERHAMPTON,Wolverhampton,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,27,27,100.12,3.7541578961088367,12.78,0,,provisional
WOLVERHAMPTON,Wolverhampton,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,100.275,2.2562260525044917,12.35,0,,insufficient
YARMOUTH,Yarmouth,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,19,19,96.24,2.71133559712213,12.86,0,,insufficient
YARMOUTH,Yarmouth,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,97.53,2.8033680140542065,12.43,0,,insufficient
YARMOUTH,Yarmouth,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,99.43,2.4107402908650273,12.379999999999999,0,,insufficient
YARMOUTH,Yarmouth,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,20,20,93.755,3.250445969401737,13.315000000000001,0,,provisional
YARMOUTH,Yarmouth,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,101.81,1.5788753029363092,11.66,0,,insufficient
