track_norm,track,distance_band,band_label,going_group,n,n_fsp,fsp_par,fsp_sd,final_furlong_par,n_stride,stride_par,tier
DONCASTER,Doncaster,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,108.83500000000001,2.3540005841120784,11.67,0,,insufficient
DONCASTER,Doncaster,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,104.525,7.726209022500944,11.82,0,,insufficient
FFOS LAS,Ffos Las,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,112.17500000000001,4.813797588414186,11.94,0,,insufficient
FFOS LAS,Ffos Las,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,3,3,107.84,0.8588881701879966,10.89,0,,insufficient
FFOS LAS,Ffos Las,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,21,21,107.15,6.5810451719734875,12.44,0,,provisional
LINGFIELD,Lingfield,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,101.72,1.9983133383799214,11.67,0,,insufficient
LINGFIELD,Lingfield,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,20,20,105.27,5.64440705477555,11.43,0,,provisional
LINGFIELD,Lingfield,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,17,17,101.9,1.756473346201688,11.96,0,,insufficient
LINGFIELD,Lingfield,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,101.205,2.6380818789415916,11.995000000000001,0,,insufficient
LINGFIELD,Lingfield,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,105.235,1.2309605553749023,12.01,0,,insufficient
NEWBURY,Newbury,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,112.05,1.1726312293300023,11.59,0,,insufficient
NEWBURY,Newbury,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,15,15,95.59,2.878172722791706,13.01,0,,insufficient
NEWBURY,Newbury,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,98.2,4.4017588366610525,12.29,0,,provisional
NEWBURY,Newbury,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,96.02,4.530610566428916,12.72,0,,provisional
NEWBURY,Newbury,1600,1600m (~8.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,106.33,3.1132426824775483,12.16,0,,insufficient
NEWBURY,Newbury,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,102.69999999999999,4.2920180276881394,12.24,0,,insufficient
RIPON,Ripon,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,47,47,93.79,4.972198798044918,12.72,0,,provisional
RIPON,Ripon,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,13,13,96.13,3.143645228941044,13.25,0,,insufficient
RIPON,Ripon,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,95.725,3.2937307281219876,12.8,0,,insufficient
SOUTHWELL,Southwell,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,102.35,2.3896605796536057,12.49,0,,insufficient
SOUTHWELL,Southwell,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,40,40,101.49000000000001,6.288117663498355,12.48,0,,provisional
SOUTHWELL,Southwell,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,19,19,104.52,4.546290929850022,12.09,0,,insufficient
WINDSOR,Windsor,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,101.73,0.5099176404087236,11.65,0,,insufficient
WINDSOR,Windsor,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,8,8,102.47999999999999,3.7027650141482105,12.21,0,,insufficient
WINDSOR,Windsor,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,36,36,96.47999999999999,3.509651331562126,12.29,0,,provisional
WINDSOR,Windsor,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,103.71000000000001,2.805568371807912,12.24,0,,insufficient
WOLVERHAMPTON,Wolverhampton,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,9,9,98.43,4.12340953251548,12.61,0,,insufficient
WOLVERHAMPTON,Wolverhampton,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,117.68,1.2589682283520898,11.620000000000001,0,,insufficient
WOLVERHAMPTON,Wolverhampton,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,18,18,98.58,4.124910623797925,13.075,0,,insufficient
WOLVERHAMPTON,Wolverhampton,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,100.275,2.2562260525044917,12.35,0,,insufficient
YARMOUTH,Yarmouth,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,9,9,97.69,2.750143879513343,12.1,0,,insufficient
YARMOUTH,Yarmouth,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,97.53,2.8033680140542065,12.43,0,,insufficient
YARMOUTH,Yarmouth,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,101.81,1.5788753029363092,11.66,0,,insufficient
