track_norm,track,distance_band,band_label,going_group,n,n_fsp,fsp_par,fsp_sd,final_furlong_par,n_stride,stride_par,tier
ASCOT,Ascot,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,30,30,103.63499999999999,3.419853733064552,12.155000000000001,0,,provisional
ASCOT,Ascot,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,96.04499999999999,2.474616940053552,12.35,0,,insufficient
ASCOT,Ascot,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,9,9,95.22,9.513467646797706,12.83,0,,insufficient
ASCOT,Ascot,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,109.65,0.7501093253653106,12.04,0,,insufficient
BRIGHTON,Brighton,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,101.04,3.1976466346361683,12.68,0,,insufficient
BRIGHTON,Brighton,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,109.97,2.6979369896274457,11.82,0,,insufficient
BRIGHTON,Brighton,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,91.59,0.9376011945384902,13.16,0,,insufficient
BRIGHTON,Brighton,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,17,17,89.61,2.5071750325014444,13.01,0,,insufficient
BRIGHTON,Brighton,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,93.31,1.8263602236871768,12.875,0,,insufficient
BRIGHTON,Brighton,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,93.14,1.1956451592921606,13.61,0,,insufficient
BRIGHTON,Brighton,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,98.785,1.097269337947617,12.36,0,,insufficient
CHEPSTOW,Chepstow,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,89.13,7.58886734887947,13.36,0,,insufficient
CHEPSTOW,Chepstow,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,39,39,94.06,2.865307851894374,12.79,0,,provisional
LINGFIELD,Lingfield,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,105.27,1.3523982401644865,11.485,0,,insufficient
SOUTHWELL,Southwell,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,102.35,2.3896605796536057,12.49,0,,insufficient
SOUTHWELL,Southwell,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,18,18,96.94,3.4115237264018083,12.79,0,,insufficient
WINDSOR,Windsor,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,96.47999999999999,1.6581837767569665,12.26,0,,insufficient
