track_norm,track,distance_band,band_label,going_group,n,n_fsp,fsp_par,fsp_sd,final_furlong_par,n_stride,stride_par,tier
CHEPSTOW,Chepstow,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,93,93,91.93,4.7982736470429215,13.23,0,,production
CHESTER,Chester,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,101.71,3.614595130741989,13.43,0,,insufficient
CHESTER,Chester,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,100.83,1.901876624252358,12.63,0,,insufficient
CHESTER,Chester,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,8,8,98.41499999999999,5.039468597977368,13.535,0,,insufficient
CHESTER,Chester,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,19,19,92.08,5.1810903247201345,12.92,0,,insufficient
CHESTER,Chester,1600,1600m (~8.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,98.49,1.3029134549441057,12.74,0,,insufficient
DONCASTER,Doncaster,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,100.01,2.1511553611385454,12.52,0,,insufficient
DONCASTER,Doncaster,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,108.83500000000001,2.3540005841120784,11.67,0,,insufficient
DONCASTER,Doncaster,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,104.525,7.726209022500944,11.82,0,,insufficient
FFOS LAS,Ffos Las,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,112.17500000000001,4.813797588414186,11.94,0,,insufficient
FFOS LAS,Ffos Las,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,102.65,2.137095812638427,12.89,0,,insufficient
FFOS LAS,Ffos Las,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,110.28999999999999,3.3542899397637056,11.935,0,,insufficient
FFOS LAS,Ffos Las,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,95.13499999999999,1.6290590331026489,12.09,0,,insufficient
FFOS LAS,Ffos Las,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,98.17,10.633735382298038,11.73,0,,provisional
FFOS LAS,Ffos Las,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,52,52,103.095,5.662806609643742,12.66,0,,production
FFOS LAS,Ffos Las,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,106.42,6.826693855740129,12.135,0,,insufficient
LINGFIELD,Lingfield,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,103.7,1.3293039532025757,12.225,0,,insufficient
LINGFIELD,Lingfield,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,101.72,1.9983133383799214,11.67,0,,insufficient
LINGFIELD,Lingfield,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,27,27,106.19,5.137276931032429,11.52,0,,provisional
LINGFIELD,Lingfield,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,17,17,101.9,1.756473346201688,11.96,0,,insufficient
LINGFIELD,Lingfield,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,17,17,99.98,2.7411745771263343,12.17,0,,insufficient
LINGFIELD,Lingfield,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,105.235,1.2309605553749023,12.01,0,,insufficient
LINGFIELD,Lingfield,1800,1800m (~8.9f),To Graceland,7,7,105.39,1.9872296376244654,12.1,0,,insufficient
NEWBURY,Newbury,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,112.05,1.1726312293300023,11.59,0,,insufficient
NEWBURY,Newbury,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,15,15,95.59,2.878172722791706,13.01,0,,insufficient
NEWBURY,Newbury,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,98.2,4.4017588366610525,12.29,0,,provisional
NEWBURY,Newbury,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,29,29,96.02,4.530610566428916,12.72,0,,provisional
NEWBURY,Newbury,1600,1600m (~8.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,106.33,3.1132426824775483,12.16,0,,insufficient
NEWBURY,Newbury,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,102.69999999999999,4.2920180276881394,12.24,0,,insufficient
RIPON,Ripon,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,20,20,95.25,5.152094622578279,13.665,0,,provisional
RIPON,Ripon,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,101.015,3.516352655806868,13.245000000000001,0,,insufficient
RIPON,Ripon,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,56,56,93.265,4.767808613985239,12.844999999999999,0,,production
RIPON,Ripon,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,15,15,89.82,2.7711549136696694,13.84,0,,insufficient
RIPON,Ripon,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,22,22,95.64,4.402371660783472,13.455,0,,provisional
RIPON,Ripon,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,16,16,95.725,3.2937307281219876,12.8,0,,insufficient
SOUTHWELL,Southwell,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,102.35,2.3896605796536057,12.49,0,,insufficient
SOUTHWELL,Southwell,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,93.19,1.6905785991784004,12.41,0,,insufficient
SOUTHWELL,Southwell,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,64,64,103.765,6.056395055586775,12.46,0,,production
SOUTHWELL,Southwell,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,54,54,98.255,4.483924299784763,12.64,0,,production
WINDSOR,Windsor,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,101.73,0.5099176404087236,11.65,0,,insufficient
WINDSOR,Windsor,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,21,21,111.93,4.294369408513902,12.63,0,,provisional
WINDSOR,Windsor,800,800m (~4.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,24,24,98.81,3.6790159463276764,13.434999999999999,0,,provisional
WINDSOR,Windsor,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,57,57,96.46,5.255975959530758,12.52,0,,production
WINDSOR,Windsor,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,15,15,93.95,3.134444909212618,13.23,0,,insufficient
WINDSOR,Windsor,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,103.71000000000001,2.805568371807912,12.24,0,,insufficient
WOLVERHAMPTON,Wolverhampton,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,9,9,98.43,4.12340953251548,12.61,0,,insufficient
WOLVERHAMPTON,Wolverhampton,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,117.68,1.2589682283520898,11.620000000000001,0,,insufficient
WOLVERHAMPTON,Wolverhampton,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,18,18,98.58,4.124910623797925,13.075,0,,insufficient
WOLVERHAMPTON,Wolverhampton,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,10,10,100.275,2.2562260525044917,12.35,0,,insufficient
YARMOUTH,Yarmouth,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,19,19,96.24,2.71133559712213,12.86,0,,insufficient
YARMOUTH,Yarmouth,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,12,12,97.53,2.8033680140542065,12.43,0,,insufficient
YARMOUTH,Yarmouth,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,4,4,99.43,2.4107402908650273,12.379999999999999,0,,insufficient
YARMOUTH,Yarmouth,600,600m (~3.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,20,20,93.755,3.250445969401737,13.315000000000001,0,,provisional
YARMOUTH,Yarmouth,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,101.81,1.5788753029363092,11.66,0,,insufficient
